Sl No,Company Name,Email ID,Category,Page
82,ST.MARY‘S RUBBERS (P) LTD,info@st.marysrubbers.com,Natural Rubber Exporters,23
83,SOUTH INDIAN RUBBER CO,"kappan@sify.com, kappan@satyam.net.in",Natural Rubber Exporters,24
84,TECHNO EXPORTS,"suresh@technoexports.com, technoexports@satyam.net.in",Natural Rubber Exporters,24
85,THAIHUA INTERNATIONAL RUBBER CO. (P) LTD,thir@thaihua.in,Natural Rubber Exporters,24
86,THE KERALA CARDAMOM PROCESSING AND,info@kcpmc.com,Natural Rubber Exporters,24
87,THE PLANTATION CORPORATION OF KERALA LTD,plantcorpktm@sancharnet.in,Natural Rubber Exporters,25
88,THE RAJAGIRI RUBBER PRODUCE CO LTD,rubber@avtgroup.net,Natural Rubber Exporters,25
89,THE STATE FARMING CORPORATION OF KERALA LTD,sfck.pnlr@sancharnet.in,Natural Rubber Exporters,25
90,THE STATE TRADING CORPORATION OF INDIA LTD,"stckochi@eth.net, stckochi@bsnl.in",Natural Rubber Exporters,25
91,THOMAS AGENCIES,"thomasagencies@rediffmail.com, thomasagencies@gmail.com",Natural Rubber Exporters,26
92,THOMSON RUBBERS (INDIA) PVT LTD,"thomson@md3.vsnl.net.in, thomasonlatex@sancharnet.in",Natural Rubber Exporters,26
93,VERITAS (INDIA) LIMITED,mohanan.chn@hmlindia.com,Natural Rubber Exporters,26
94,VETBIOCHEM (INDIA) PVT LTD,sachin@vetbiochem.in,Natural Rubber Exporters,27
95,VIADUCT  TRADERS  PVT  LTD,naveen@viaducttraders.com,Natural Rubber Exporters,27
96,WISTERIA CORPORATE HOLDINGS,amjad@wisteriaholdings.com,Natural Rubber Exporters,27
97,WYNAD RESINS,wynadresins@yahoo.com,Natural Rubber Exporters,27
98,AAI (INDIA),aaiindia@airtelmail.in,Rubber Products Exporters,28
99,ABHINAV OVERSEAS,guptaabhinav127@hotmail.com,Rubber Products Exporters,28
100,ABHISAR BUILDWELL PRIVATE LTD.,"ajay.singh@dsgroup.com, laresh.garg@dsgroupindia.com",Rubber Products Exporters,28
101,ABYSSINIA IMPEX,abyssinia@vsnl.net,Rubber Products Exporters,28
102,AEROBOK SHOE PVT LTD,info@aerobok.in,Rubber Products Exporters,29
103,AERO RUBBER CORPORATION,"aeroarc@gmail.com, aeroarc@vsnl.net",Rubber Products Exporters,29
104,AGARWAL RECLAIM AND RUBBER PRODUCTS,agarwalreclaim@gmail.com,Rubber Products Exporters,29
105,AGARWAL RUBBER LIMITED,info@agarwalrubber.net,Rubber Products Exporters,29
106,AG DERCO BELTING INDIA PVT LTD,agderco@agengineers.net,Rubber Products Exporters,30
107,AGREENCO FIBRE FOAM PVT LTD,cnn_fibrefoam@yahoo.com,Rubber Products Exporters,30
108,AHUJA CONTINENTAL LTD/ YOKOSTONE,"acltyres@vsnl.net, factory@yokostone.com",Rubber Products Exporters,30
109,AILGA EXPORTS,info@ailga.com,Rubber Products Exporters,30
110,AILGA RUBBER WORKS,info@ailga.com,Rubber Products Exporters,31
111,AJANTA AUTO INDUSTRIES,contactus@kwalitypolymers.com,Rubber Products Exporters,31
112,AJANTA BELTS (P) LTD.,ajanta_belts@yahoo.com,Rubber Products Exporters,31
113,ALASKA EXPORTS,info@alaskaexportsindia.com,Rubber Products Exporters,31
114,ALASKA MULTI POLYMERS PVT. LTD.,alaskadelhi@gmail.com,Rubber Products Exporters,32
115,ALLEPPEY LATEX PRIVATE LIMITED,alleppeylatex@gmail.com,Rubber Products Exporters,32
116,AMEE RUBBER INDUSTRIES PVT LTD,ameerubber@hotmail.com,Rubber Products Exporters,32
117,AMITY POLYMERS,"info@amitypolymers.com, amitypolymers@vsnl.net",Rubber Products Exporters,33
118,AMPOLLI PVT LTD,rnsimhan@gmail.com,Rubber Products Exporters,33
119,ANAND NVH PRODUCTS (P) LTD,"export@anandnvh.com, anp@vsnl.net, sbaserjee@uneudnvh.com",Rubber Products Exporters,33
120,ANDHRA POLYMERS PVT LTD,"admin@applind.com, kp@applind.com",Rubber Products Exporters,34
121,ANIL RUBBER MILLS PVT LTD,"armak@nda.vsnl.net.in, armakindia@airtelmail.com",Rubber Products Exporters,34
122,APCOTEX INDUSTRIES LTD.,ckmore@apcotex.com,Rubber Products Exporters,34
123,APOLLO TYRES LTD,"nsreekumara@apollotyres.com, sales@apollotyres.com",Rubber Products Exporters,35
124,ARA MATS INTERNATIONAL,dijo@aramats.com,Rubber Products Exporters,35
125,"ARACKATHARA RECLAMATIONS,","arackathara@gmail.com, arackathara@satyam.net.in",Rubber Products Exporters,35
126,ARMACELL INDIA PVT LTD,roli.mathur@armacell.com,Rubber Products Exporters,35
127,ASHA RUBBER INDUSTRIES,hemant.asharubber@gmail.com,Rubber Products Exporters,36
128,ASMA RUBBER PRODUCTS PVT LTD,"asmaglove@eth.net, asmaglove@gmail.com",Rubber Products Exporters,36
129,ASHOK RUBBER INDUSTRIES,ashokrub@vsnl.net,Rubber Products Exporters,36
130,ASHTON INTERNATIONAL PVT LTD,shpng@ashton-india.com,Rubber Products Exporters,36
131,ASHUTOSH RUBBER PVT LTD,info@ashutoshrubber.com,Rubber Products Exporters,37
132,ASP SEALING PRODUCTS LTD,"asp@aspseals.com, aspseal@del2.vsnl.net.in",Rubber Products Exporters,37
133,ASTRA CORPORATION,swanirubber@sify.com,Rubber Products Exporters,37
134,ATC TYRES PVT LTD,"hopurchase@atgtire.com, info@atgtire.com",Rubber Products Exporters,37
135,ATUR RUBBER PRODUCTS,"aturrubbers@yahoo.com, aturrubber@vsnl.net",Rubber Products Exporters,38
136,AUBERON,auberonprn@yahoo.com,Rubber Products Exporters,38
137,AUTOFLEX PVT LTD,autoflex@vsnl.com,Rubber Products Exporters,38
138,AUTO STEEL AND RUBBER INDUSTRIES PVT LTD,dtkeswani@hotmail.com,Rubber Products Exporters,38
139,AVADH RUBBER LIMITED,"arllko@satyam.net.in, info@avadhrubbers.com",Rubber Products Exporters,39
140,AVIGIRI URETHANE & RUBBER INDUSTRIES PVT LTD,"shylapai@gmail.com, maheshd@avigri.com",Rubber Products Exporters,39
141,A V INDUSTRIES,avind@vsnl.net,Rubber Products Exporters,39
142,AVI WORLDWIDE PVT LTD,"arun@avindustries.in, info@viworldwide.in",Rubber Products Exporters,40
143,BAIRATHI SHOE CO (P) LTD,saurabhbairathi@yahoo.com,Rubber Products Exporters,40
144,BALAJI CORK & RUBBER INC,"info@balajicork.com, balajicork@yahoo.co.in",Rubber Products Exporters,40
145,BALAJI RUBBER AND RECLAIMS PVT LTD,"slm-reclaims@eth.net, info@rubberreclaim.com",Rubber Products Exporters,40
146,BALAJI RUBBER INDUSTRIES (P) LTD,slm-reclaims@eth.net,Rubber Products Exporters,41
147,BALAKRISHNA INDUSTRIES LTD,"purchase@bkt-tries.com, europe@bkt-tries.com, domestic@bkt-tries.com",Rubber Products Exporters,41
148,BANIK RUBBER INDUSTRIES,bri@cal3vsnl.net.in,Rubber Products Exporters,41
149,BASANT RUBBER FACTORY LTD,rubber@vsnl.com,Rubber Products Exporters,41
150,BASRUR UNISEAL PVT LTD,uniseal@vsnl.net,Rubber Products Exporters,42
151,BELMONT RUBBER INDUSTRIES,"info@belmontrubber.in, belmontrubin@airtelbrand.in",Rubber Products Exporters,42
152,BETA HEALTHCARE PRODUCTS PVT LTD,"betahealthcare@gmail.com, worksbeta@gmail.com",Rubber Products Exporters,42
153,BETA  INDUSTRIAL PRODUCTS,"betaindia@vsnl.com, beta@del3.vsnl.net.in",Rubber Products Exporters,42
154,BHARATH RUBBER (INDIA) LTD,"admin@veegripbelts.com, sales@veegripbelfs.com",Rubber Products Exporters,43
155,BHARTI RUBBER OVERSEAS,N/A,Rubber Products Exporters,43
156,BHARAT RUBBER WORKS PVT LTD,bharatb@bom8.vsnl.net.in,Rubber Products Exporters,43
157,BIRLA TYRES,"ho@birlatyre.com, exports@birlatyres.com",Rubber Products Exporters,43
158,BOHRA RUBBER PVT LTD,"sales@bohra.com, accounts2@bohra.com, admin@bohra.com",Rubber Products Exporters,44
159,BONY POLYMERS (P) LTD,bony@bonypolymers.com,Rubber Products Exporters,44
160,BORIVLI RUBBER WORKS,borivli@bom3.vsnl.net.in,Rubber Products Exporters,44
161,BRAHANS POLYMERS PVT LTD,"info@brahanspolymers.com, brpitd@vsnl.com",Rubber Products Exporters,45
162,BREMELS RUBBER INDUSTRIES (P) LTD,"exports@bremelsrubbers.com, bremels@vsnl.com, bermels@rediffmail.com",Rubber Products Exporters,45
163,BRIDGESTONE INDIA PRIVATE LIMITED,"care@bridgestone.co.in, customercare-tbr@bridgestone.co.in",Rubber Products Exporters,45
164,BRIDGESTONE TVS INDIA PVT LTD,sundarpk@tvstyres.com,Rubber Products Exporters,46
165,BUYER’S ENGINEERS PVT LTD,"buyersdngineers@dataone.in, buyer@eth.net",Rubber Products Exporters,46
166,BYMER ELASTOMERS,sales@bymer.com,Rubber Products Exporters,46
167,CAPITAL AUTO RUBBER PRODUCTS PVT LTD,"sales@capitalautorubbers.com, export@capitalautorubber.com",Rubber Products Exporters,46
168,CEAKAY INDUSTRIES,ceakayindustries@yahoo.com,Rubber Products Exporters,47
169,CEAT LTD,"bharatsharma@ceatltd.com, marketing@ceatltd.com, jimmy@ceatltd.com",Rubber Products Exporters,47
170,CELLURUBB PRODUCTS PRIVATE LIMITED,finance1.manesar@rooppolymers.com,Rubber Products Exporters,47
171,CENTURY FIBRE PLATES (P) LTD,"projects_cfpl@centuaryindia.com, b2bsales_cfpl@centuaryindia.com",Rubber Products Exporters,47
172,CENTURY INDUSTRIAL PRODUCTS PVT LTD,"centuryrubber09@gmail.com, centrubb@vsnl.com",Rubber Products Exporters,48
173,CHHATARIYA FIRETECH INDUSTRIES,cfi@sancharnet.in,Rubber Products Exporters,48
174,CHOKSEY CHEMICALS PVT LTD,contact@chokseychem.com,Rubber Products Exporters,48
175,CHOPRA RETEC RUBBER PRODUCTS LTD,"chopraretec@gmail.com, chopraretec@hotmail.com",Rubber Products Exporters,48
176,CHOWDHRY INDUSTRIES,exim@crcc.in,Rubber Products Exporters,49
177,CLASSIC COIR FACTORY,info@classiccoir.com,Rubber Products Exporters,49
178,CLIMAX OVERSEAS PVT LTD,N/A,Rubber Products Exporters,49
179,COIRMATES INDIA,coirmatesindia@gmail.com,Rubber Products Exporters,49
180,CONCORD CONVEYORS,"concord_conveyor2000@yahoo.com, concord_conveyor2000@rediffmail.com",Rubber Products Exporters,50
181,CONVEX LATEX PVT LTD,"manav@vsnl.com, cipl2027@gmail.com",Rubber Products Exporters,50
182,CONTINENTAL CONVEYORS PVT LTD,ccplindia@yahoo.com,Rubber Products Exporters,50
183,CONTITECH INDIA PVT LTD,info@contitech.in,Rubber Products Exporters,50
184,CORI ENGINEERS PVT LTD,"igp@md3.vsnl.net.in, igp@vsnl.com",Rubber Products Exporters,51
185,CORRUB INDUSTRIES,"natcork@airtelmail.in, notcork@vsnl.net",Rubber Products Exporters,51
186,COSCO (INDIA) LIMITED,"gurgaon@coseo.in, mail@cosco.in",Rubber Products Exporters,51
187,COSMO EXPORTS,"cosmoexp@hotmail.com, cosmoexp@satyam.net.in",Rubber Products Exporters,52
188,CUPID LTD,cupid_bom@yahoo.co.in,Rubber Products Exporters,52
189,DELTA RUBBER PRODUCTS PVT LTD,"rubber@applind.com, floraflooring@applind.com",Rubber Products Exporters,52
190,DEVASHISH POLYMERS PVT LTD,ckmody@devashishpolymers.com,Rubber Products Exporters,52
191,DINDI RUBBER PVT LTD,nandi@nanditube.com,Rubber Products Exporters,53
192,D.M. EXPORTS PVT LTD,dmequest@vsnl.com,Rubber Products Exporters,53
193,DOLPHIN RUBBER INDUSTRIES,"dolphin12345@sify.com, sales@dolphinrubbermat.com",Rubber Products Exporters,53
194,DOVE INTERNATIONAL,info@doveint.com,Rubber Products Exporters,54
195,DOW CORNING INDIA PVT LTD,gopal.digaskar@dowcorning.com,Rubber Products Exporters,54
196,D P TRADING CO (I),dptrading_401@rediffmail.com,Rubber Products Exporters,54
197,D S ENGINEERS & CONSULTANTS,sdhanania@rediffamil.com,Rubber Products Exporters,54
198,DUNLOP INDIA LTD,feedback@dunlop.co.in,Rubber Products Exporters,55
199,DURATUF PRODUKT,"info@duratufproduct.com, aayush@duratufproduct.com",Rubber Products Exporters,55
200,DUROFLEX PRIVATE LTD/EOCO LATEX EXPORTS (P) LTD,"duroflexalpy@gmail.com, cocolatexexport@gmail.com",Rubber Products Exporters,55
201,DYNAMIC RUBBERS PVT LTD,"accounts@dynamicrubbers.com, info@dynamicrubbers.com",Rubber Products Exporters,55
202,EAGLE MINING PRODUCTS PVT LTD,pradeep_srivastaa@rediffmail.com,Rubber Products Exporters,56
203,EASONS POLYMERS,ibapamb@dataone.in,Rubber Products Exporters,56
204,EASTERN MATTRESSES PVT LTD,"sunidramktg@eastern.in, sunidrafactory@eastern.in",Rubber Products Exporters,56
205,EASTERN TREADS LTD.,treads@eastern.in,Rubber Products Exporters,56
206,EASTMAN INDUSTRIES,addoindia@eastmanglobal.com,Rubber Products Exporters,57
207,EASTMAN RECLAMATIONS,nipur@kohinooronline.com,Rubber Products Exporters,57
208,ECO GREEN RUBBERS PVT LTD,ashish_kalani@hotmail.com,Rubber Products Exporters,57
209,ECO GREEN RUBBERS PVT LTD,N/A,Rubber Products Exporters,57
210,ELASTO TECH INDUSTRIES,info@elasto-tech.com,Rubber Products Exporters,58
211,ELGI  RUBBER COMPANY LIMITED,"info@elgirubber.com, info@in.elgirubber.com",Rubber Products Exporters,58
212,ELGI ULTRA INDUSTRIES LTD,polytexmktg@elgiultra.com,Rubber Products Exporters,58
213,ELITE INDIA RUBBER PRODUCTS PVT LTD,"elitenbr@yahoo.com, info@eliteindiarubberproducts.com",Rubber Products Exporters,59
214,EMDET JAMSHEDPUR (P) LTD,"info@emdetjsr.com, ceo@emdetjsr.com",Rubber Products Exporters,59
215,EMRALD RESILIENT TYRE MANUFACTURERS (P) LTD,ssg@emraldtyres.com,Rubber Products Exporters,59
216,ENKAY (INDIA) RUBBER CO PVT LTD,"aksingh@enkayrub.com, contact@enkayrub.com",Rubber Products Exporters,60
217,ESKEGIE RECLAIMS PRIVATE LTD.,mdbalajirubber@gmail.com,Rubber Products Exporters,60
218,ESWAR RUBBER PRODUCTS PVT LTD,slm-reclaims@eth.net,Rubber Products Exporters,60
219,EUREKA CONVEYOR BELTINGS PVT LTD,eurekabeltings@hotmail.com,Rubber Products Exporters,60
220,EVERHINE RUBBERS (PVT) LTD,"info@evershinerubbers.com, evershinerubbers@rediffmail.com",Rubber Products Exporters,61
221,EXCEL CONTROLINKAGE PVT LTD,ag@technotrades.com,Rubber Products Exporters,61
222,FALCON TYRES LTD,"feedback@falcontyres.com, rd@falcontyres.com",Rubber Products Exporters,61
223,FAMCOM GLOBAL EXPORTS,"22famcom@del2.vsnl.net.in, famcomindia@sify.com, info@famcom.in",Rubber Products Exporters,61
224,FELIX CONSORTIUM,sales@felixconsortium.com,Rubber Products Exporters,62
225,FELIX RUBBERS PVT LTD,info@felixrubbers.com,Rubber Products Exporters,62
226,FILATEX-VCT PVT LTD,"info@filatex.in, filatex@md3.vsnl.net.in",Rubber Products Exporters,62
227,FILATEX VECHUKUNNEL PVT LTD,albert@fvpl.co.in,Rubber Products Exporters,62
228,FILCOMPS,filcomps@gmail.com,Rubber Products Exporters,63
229,FISHFA RUBBERS LTD,"info@fishfarubbers.com, exports@flooratexrubber.com, floora@sancharnet.in",Rubber Products Exporters,63
230,FORBO SIEGLING MOVEMENT SYSTEMS INDIA PVT LTD,ashish.ranjan@forbo.com,Rubber Products Exporters,64
231,FORBES EWART & FIGGIS (P) LTD,forbes1@vsnl.com,Rubber Products Exporters,64
232,FORECH INDIA LTD,"info@forech.com, forech@mdb.vsnl.net.in",Rubber Products Exporters,64
233,FOUR FRESH RETAILS PVT LTD,customercare@4fresh.in,Rubber Products Exporters,65
234,FREEDOM RUBBER LTD,bhatiaks@yahoo.com,Rubber Products Exporters,65
235,GANESA RUBBER RECLAIMERS,slm-reclaims@sancharnet.in,Rubber Products Exporters,65
236,GANGAMANI ENTERPRISE PVT LTD,gangamani2001@yahoo.com,Rubber Products Exporters,65
237,GARWARE BESTRETCH LTD,"info@garwarebeil.com, a.dyahadroy@garwarebeil.com",Rubber Products Exporters,66
238,GARWARE ELASTOMERICS LTD,info@garwarebeil.com,Rubber Products Exporters,66
239,GATES  INDIA PVT LTD,"customercare@gates.com, gatesind@satyam.net.in",Rubber Products Exporters,66
240,G.B. RUBBER PRODUCTS,"adityagupta@gbrubberproduct.com, gbrubber@vsnl.net",Rubber Products Exporters,67
241,GENERAL RUBBER PRODUCTS,"generalrubber@gmail.com, strpcigrp@dataone.in",Rubber Products Exporters,67
242,GENERAL RUBBERS,midas@vsnl.com,Rubber Products Exporters,67
243,GLENROCK RUBBER PRODUCTS PVT LTD,glenrock@sancharnet.in,Rubber Products Exporters,68
244,GOLDEN ROLLS PVT LTD,sales@goldenrolls.com,Rubber Products Exporters,68
245,GOLDFLEX AUTO PARTS PVT LTD,colmjs@yahoo.com,Rubber Products Exporters,68
246,GOLD SEAL AVON POLYMERS PVT LTD,"cyrus@goldseal.in, sales@goldseal.in",Rubber Products Exporters,69
247,GOLD SEAL ENGINEERING PRODUCTS PVT LTD,"cyrus@goldseal.in, sales@goldseal.in",Rubber Products Exporters,69
248,GOLDSEAL SAARGUMMI INDIA (P) LTD,mavis@goldseal.in,Rubber Products Exporters,69
249,GOLDY INTERNATIONAL INC,eximclub89@yahoo.com,Rubber Products Exporters,70
250,GOODYEAR INDIA LTD/GOOD YEAR SOUTHASIA PVT LTD,"garhwal@goodyear.com, export@goodyear.com",Rubber Products Exporters,70
251,GOVIND RUBBER LTD,"ludhiana@grltires.com, ludhiana@govindrubber.com",Rubber Products Exporters,70
252,GOVIND RUBBER LTD,"darak@govindrubber.com, info@grltyres.com",Rubber Products Exporters,70
253,GREEN ENERGY RESOURCES,akmund@gmail.com,Rubber Products Exporters,71
254,"GRP LTD (F’LY, GUJARAT RECLAIM & RUBBER)","sales.ip@grpweb.com, ajay.gandhi@grpweb.com",Rubber Products Exporters,71
255,HABASIT IAKOKA PVT LTD,p.karunakaran@habasit.com,Rubber Products Exporters,71
256,HANKOOK LATEX PVT LTD,"hlpl.marketing@gmail.com, hllp@sify.com, sales@hankooklatex.in",Rubber Products Exporters,72
257,HARKESH RUBBER INDUSTRIES,"darshan.shah@harkeshrubber.com, info@harkeshrubber.com",Rubber Products Exporters,72
258,HARTEX RUBBER PVT LTD,"exports@hartex.in, s.bagta@hartex.in",Rubber Products Exporters,72
259,HARYANA RUBBER UDYOG,info@haryanarubberudyog.com,Rubber Products Exporters,73
260,HELICORD TRANSMISSIONS PRIVATE LIMITED,sales@helicord.in,Rubber Products Exporters,73
261,HEVEA RUBBER TECHNOLOGIES (P) LTD,"hevea@sancharnet.in, laila.kurien@hevea.co.in, kurian-kurian@hevea.co.in",Rubber Products Exporters,73
262,HI-CARE POLYMERS PVT LTD,"hicarekklm@yahoo.co.in, marketing@hicarepolymers.com",Rubber Products Exporters,74
263,H I C INTERNATIONAL CO INC,"belts@universaldelhi.org, universal@hic-india.com",Rubber Products Exporters,74
264,HIGHRANGE RUBBER & COIR PRODUCTS PRIVATE LTD,highrange@satyam.net.in,Rubber Products Exporters,74
265,HIGH TECH RECLAIM PVT LTD,"export@hightechreclaim.com, info@hightechreclaim.com",Rubber Products Exporters,75
266,HIMANSHU ORGANICS (P) LTD,"info@himanshuorganics.com, export@himanshuorganics.com",Rubber Products Exporters,75
267,HINDUSTAN INDUSTRIAL CORPORATION,info@hicindia.com,Rubber Products Exporters,75
